business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Akhil Milk Parlour(AMUL Distributor Warangal),Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,506013,+91 80743 88407,https://www.instagram.com/akhil_milk_parlour?igsh=MWFuYmJzdDhxMHcwMA==,5.0,,"11-17-230, near library, Kashibugga, Prathap Nagar, Warangal, Telangana 506002","Kashibugga, Prathap Nagar",17.9830446,79.61180949999999,ChIJee3Gz6JFMzoRca7p4M5V1s0,https://www.google.com/maps/place/?q=place_id:ChIJee3Gz6JFMzoRca7p4M5V1s0,part_091,2026-09-19 08:42:47,1
Mulukanoor Women's Co-Operative Dairy Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,506013,N/A,N/A,4.3,,"16-10-1366, Shiva Nagar, Warangal, Telangana 506002",Shiva Nagar,17.9695112,79.6050448,ChIJQ9y5WCZFMzoR0xp99f90epg,https://www.google.com/maps/place/?q=place_id:ChIJQ9y5WCZFMzoR0xp99f90epg,part_091,2026-09-19 08:42:47,2
Warangal Milk Center,Dairy and Milk Parlour,Dairy store,Dairy store,506013,+91 94917 86000,N/A,4.2,,"Charbouli Rd, Bank Colony, Vasavi Colony, Girmajipet, Warangal, Telangana 506002","Bank Colony, Vasavi Colony, Girmajipet",17.9906663,79.5997332,ChIJl0c5UVhFMzoRpn5d0S9ZWA0,https://www.google.com/maps/place/?q=place_id:ChIJl0c5UVhFMzoRpn5d0S9ZWA0,part_091,2026-09-19 08:42:47,3
Surabhi Dodla Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,506013,N/A,https://www.dodladairy.com/,4.0,,"H.no:13-1-16-17/1p, Surabhi milk palour Papipet chaman, Telangana 506002","Papaiahpet, Sherpura",17.9833928,79.5947741,ChIJCf_zHSpFMzoRhAmx6lSNxxI,https://www.google.com/maps/place/?q=place_id:ChIJCf_zHSpFMzoRhAmx6lSNxxI,part_091,2026-09-19 08:42:47,4
SAINATH MILK PARLOUR,Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,506013,N/A,N/A,,,"Pochamma Maidan, Vasavi Colony, Kothawada, Warangal, Telangana 506002","Pochamma Maidan, Vasavi Colony, Kothawada",17.9880743,79.601552,ChIJ25FvawBFMzoReJxDFxu7f_o,https://www.google.com/maps/place/?q=place_id:ChIJ25FvawBFMzoReJxDFxu7f_o,part_091,2026-09-19 08:42:47,5
Dodla Dairy Parlour,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,506013,N/A,N/A,5.0,,"1, Desaipet Rd, Navayuga Colony, Warangal, Telangana 506006",Navayuga Colony,17.9914248,79.60435849999999,ChIJFc5PsX5FMzoRTe1b2tsapCs,https://www.google.com/maps/place/?q=place_id:ChIJFc5PsX5FMzoRTe1b2tsapCs,part_091,2026-09-19 08:42:47,6
Thirumala Dairy Parlour,Dairy and Milk Parlour,Dairy store,"Dairy store, Ice cream shop",506013,+91 96400 48647,N/A,3.2,,"XHMV+FMQ, Swami Vivekananda Rd, near Maheshwari Garments, Pothana Nagar, Papaiahpet, Ramannapet, Warangal, Telangana 506002","Pothana Nagar, Papaiahpet, Ramannapet",17.9837165,79.5942199,ChIJp1kA1RlFMzoRMi-xvyqw-9A,https://www.google.com/maps/place/?q=place_id:ChIJp1kA1RlFMzoRMi-xvyqw-9A,part_091,2026-09-19 08:42:47,7
WARANGAL MILK PARlOR,Dairy and Milk Parlour,Dairy store,Dairy store,506013,+91 70137 43067,N/A,,,"Bank Colony, Vasavi Colony, Kothawada, Warangal, Telangana 506007","Bank Colony, Vasavi Colony, Kothawada",17.9906763,79.5997361,ChIJaRGtTMZFMzoRGU9-jcC-c1E,https://www.google.com/maps/place/?q=place_id:ChIJaRGtTMZFMzoRGU9-jcC-c1E,part_091,2026-09-19 08:42:47,8
NANDINI DAIRY FARM,Dairy and Milk Parlour,Dairy farm,Dairy farm,506013,+91 93989 63750,https://sites.google.com/view/nandini-dairy-farm/home,5.0,,"Reddy Puram, Hanamkonda, Telangana 506001",506013,18.034744099999998,79.5856879,ChIJpxRWb_lFMzoR5QEaqzwsbTc,https://www.google.com/maps/place/?q=place_id:ChIJpxRWb_lFMzoR5QEaqzwsbTc,part_091,2026-09-19 08:42:47,9
Sri Rajarajeshwara Milk Dairy Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,506013,N/A,N/A,,,"Shop No14, 12, Kareemabad Rd, Indira Nagar, Shanthi Nagar, Warangal, Telangana 506002","Indira Nagar, Shanthi Nagar",17.9709087,79.5938973,ChIJNewBzTpFMzoRGeAHekGpjeI,https://www.google.com/maps/place/?q=place_id:ChIJNewBzTpFMzoRGeAHekGpjeI,part_091,2026-09-19 08:42:47,10
Nethan Raithu Diary & Ghee Sweets Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,506013,+91 97041 09972,N/A,,,"Municipal Complex, Narsampet Rd, Kashibugga, Girmajipet, Warangal, Telangana 506002","Kashibugga, Girmajipet",17.9812162,79.60695489999999,ChIJK0Zb399EMzoRVgKI7AW5WXo,https://www.google.com/maps/place/?q=place_id:ChIJK0Zb399EMzoRVgKI7AW5WXo,part_091,2026-09-19 08:42:47,11
Vennala Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,506013,+91 82977 95402,N/A,,,"near by Bank Of India, Chirstian Colony, Labour Colony, Warangal, Telangana 506013","Chirstian Colony, Labour Colony",17.9734655,79.6182985,ChIJ9bkNSTBFMzoR23eeCHaWJRA,https://www.google.com/maps/place/?q=place_id:ChIJ9bkNSTBFMzoR23eeCHaWJRA,part_091,2026-09-19 08:42:47,12
NSR DAIRY PARLOUR,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,506013,+91 77997 94559,http://www.nsrdairy.com/,,,"XJQ2+GRQ, Pocham Maidan Chowrastha, Pochamma Maidan, Vasavi Colony, Girmajipet, Warangal, Telangana 506002","Pochamma Maidan, Vasavi Colony, Girmajipet",17.988844,79.6021224,ChIJr72kDQBFMzoRQuGabNvBEd4,https://www.google.com/maps/place/?q=place_id:ChIJr72kDQBFMzoRQuGabNvBEd4,part_091,2026-09-19 08:42:47,13
Vanamala Farms,Dairy and Milk Parlour,Dairy farm,Dairy farm,506013,N/A,N/A,5.0,11.0,"2GQJ+2MG, Bheemaram, Hanamkonda, Telangana 506015",Bheemaram,18.0375562,79.53170399999999,ChIJwzygZQBPMzoRWN1fIdSoeBs,https://www.google.com/maps/place/?q=place_id:ChIJwzygZQBPMzoRWN1fIdSoeBs,part_091,2026-09-19 08:42:47,14
kakatiya dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,506013,+91 90307 69802,N/A,4.5,21.0,"XGJ7+R88, Rahamatnagar, Kazipet, Telangana 506003",Rahamatnagar,17.9820316,79.5133158,ChIJdwmVe0tOMzoRGWY89TQ2OzM,https://www.google.com/maps/place/?q=place_id:ChIJdwmVe0tOMzoRGWY89TQ2OzM,part_091,2026-09-19 08:42:47,15
Hatsun Daily,Dairy and Milk Parlour,Dairy store,Dairy store,506013,+91 1800 425 3355,https://www.hap.in/,4.0,270.0,"2H68+J69, Kumapalli, Hanamkonda, Telangana 506001",Kumapalli,18.0115482,79.5655968,ChIJ30wffIZFMzoRMsL7ko0bpDA,https://www.google.com/maps/place/?q=place_id:ChIJ30wffIZFMzoRMsL7ko0bpDA,part_091,2026-09-19 08:42:47,16
Mohan Reddy Dairy Farm,Dairy and Milk Parlour,Dairy farm,"Dairy farm, Agriculture",506013,N/A,N/A,4.3,15.0,"Rural, Narsampet, Telangana 506332",506013,17.9209765,79.8526443,ChIJ9XCMfzVkMzoRmmyDS_gAMMc,https://www.google.com/maps/place/?q=place_id:ChIJ9XCMfzVkMzoRmmyDS_gAMMc,part_091,2026-09-19 08:42:47,17
NSR Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,506013,+91 77997 94559,http://nsrdairy.in/contact.html,4.1,17.0,"04, Doctor Colony Road, Powers Colony, Warangal, Telangana 506006",Powers Colony,18.003857,79.5974361,ChIJAQAncY9FMzoRb8lTc4Rntxg,https://www.google.com/maps/place/?q=place_id:ChIJAQAncY9FMzoRb8lTc4Rntxg,part_091,2026-09-19 08:42:47,18
